fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,fecha_create,fecha_update
17 ene 2025,7875,7944,7776,7788,7788,112409,2025-05-25,2025-05-25
16 ene 2025,8040,8059,7787,7868,7868,159948,2025-05-25,2025-05-25
15 ene 2025,7803,8077,7724,8004,8004,321422,2025-05-25,2025-05-25
14 ene 2025,7882,7909,7741,7750,7750,326729,2025-05-25,2025-05-25
13 ene 2025,7654,7927,7654,7882,7882,460942,2025-05-25,2025-05-25
10 ene 2025,7429,7786,7402,7657,7657,478432,2025-05-25,2025-05-25
9 ene 2025,7332,7432,7284,7392,7392,213421,2025-05-25,2025-05-25
8 ene 2025,7452,7529,7316,7332,7332,328617,2025-05-25,2025-05-25
7 ene 2025,7344,7453,7311,7425,7425,277328,2025-05-25,2025-05-25
6 ene 2025,7405,7499,7320,7356,7356,306042,2025-05-25,2025-05-25
3 ene 2025,7313,7435,7270,7396,7396,296040,2025-05-25,2025-05-25
2 ene 2025,7185,7373,7179,7313,7313,306498,2025-05-25,2025-05-25
31 dic 2024,7115,7202,7087,7172,7172,151155,2025-05-25,2025-05-25
30 dic 2024,7042,7156,7012,7099,7099,199296,2025-05-25,2025-05-25
27 dic 2024,6968,7075,6944,7060,7060,172641,2025-05-25,2025-05-25
26 dic 2024,7020,7075,6933,6962,6962,144877,2025-05-25,2025-05-25
24 dic 2024,6956,7043,6936,7010,7010,122602,2025-05-25,2025-05-25
23 dic 2024,6940,6994,6859,6924,6924,188843,2025-05-25,2025-05-25
20 dic 2024,6923,6985,6842,6946,6946,231592,2025-05-25,2025-05-25
19 dic 2024,7014,7126,6970,6991,6991,291660,2025-05-25,2025-05-25
18 dic 2024,7022,7138,6999,7058,7058,99386,2025-05-25,2025-05-25
17 dic 2024,7061,7092,6918,7008,7008,99604,2025-05-25,2025-05-25
16 dic 2024,7144,7144,7037,7071,7071,204296,2025-05-25,2025-05-25
13 dic 2024,7006,7142,6987,7129,7129,230429,2025-05-25,2025-05-25
12 dic 2024,7043,7072,6914,7002,7002,326046,2025-05-25,2025-05-25
11 dic 2024,6850,7053,6844,7029,7029,335892,2025-05-25,2025-05-25
10 dic 2024,6819,6906,6772,6859,6859,286003,2025-05-25,2025-05-25
9 dic 2024,6715,6888,6708,6837,6837,297085,2025-05-25,2025-05-25
6 dic 2024,6844,6849,6698,6720,6720,341593,2025-05-25,2025-05-25
5 dic 2024,6874,6916,6798,6830,6830,286701,2025-05-25,2025-05-25
4 dic 2024,7002,7051,6849,6854,6854,325636,2025-05-25,2025-05-25
3 dic 2024,6816,7023,6791,6994,6994,303752,2025-05-25,2025-05-25
2 dic 2024,6800,6911,6771,6810,6810,264883,2025-05-25,2025-05-25
29 nov 2024,6877,6969,6787,6800,6800,291408,2025-05-25,2025-05-25
27 nov 2024,6891,6937,6818,6872,6872,227215,2025-05-25,2025-05-25
26 nov 2024,6908,7030,6805,6877,6877,292138,2025-05-25,2025-05-25
25 nov 2024,7144,7148,6874,6894,6894,380922,2025-05-25,2025-05-25
22 nov 2024,7018,7151,6929,7124,7124,408207,2025-05-25,2025-05-25
21 nov 2024,6904,7038,6886,7010,7010,283850,2025-05-25,2025-05-25
20 nov 2024,6955,7015,6875,6887,6887,235637,2025-05-25,2025-05-25
19 nov 2024,6901,6969,6845,6939,6939,89360,2025-05-25,2025-05-25
18 nov 2024,6686,6939,6661,6916,6916,110375,2025-05-25,2025-05-25
15 nov 2024,6862,6869,6682,6702,6702,205235,2025-05-25,2025-05-25
14 nov 2024,6813,6939,6792,6870,6870,232270,2025-05-25,2025-05-25
13 nov 2024,6798,6886,6694,6843,6843,386027,2025-05-25,2025-05-25
12 nov 2024,6815,6913,6775,6812,6812,286926,2025-05-25,2025-05-25
11 nov 2024,7025,7056,6792,6804,6804,364506,2025-05-25,2025-05-25
8 nov 2024,7221,7225,6999,7038,7038,362038,2025-05-25,2025-05-25
7 nov 2024,7187,7288,7066,7236,7236,353595,2025-05-25,2025-05-25
6 nov 2024,7202,7263,6974,7169,7169,388265,2025-05-25,2025-05-25
5 nov 2024,7162,7267,7129,7199,7199,247311,2025-05-25,2025-05-25
4 nov 2024,7029,7181,7025,7147,7147,286947,2025-05-25,2025-05-25
1 nov 2024,7044,7145,6932,6949,6949,320572,2025-05-25,2025-05-25
31 oct 2024,6910,7081,6830,6926,6926,311055,2025-05-25,2025-05-25
30 oct 2024,6747,6917,6728,6861,6861,284795,2025-05-25,2025-05-25
29 oct 2024,6802,6852,6672,6721,6721,291929,2025-05-25,2025-05-25
28 oct 2024,6898,6900,6692,6738,6738,419623,2025-05-25,2025-05-25
25 oct 2024,7033,7192,6996,7178,7178,287189,2025-05-25,2025-05-25
24 oct 2024,7102,7234,6977,7019,7019,286571,2025-05-25,2025-05-25
23 oct 2024,7135,7172,7013,7077,7077,293835,2025-05-25,2025-05-25
22 oct 2024,7049,7266,7005,7209,7209,330456,2025-05-25,2025-05-25
21 oct 2024,6946,7103,6900,7056,7056,92584,2025-05-25,2025-05-25
18 oct 2024,7075,7123,6869,6922,6922,95768,2025-05-25,2025-05-25
17 oct 2024,7068,7111,6944,7067,7067,188161,2025-05-25,2025-05-25
16 oct 2024,7099,7131,6964,7039,7039,222437,2025-05-25,2025-05-25
15 oct 2024,7151,7212,6971,7058,7058,328738,2025-05-25,2025-05-25
14 oct 2024,7505,7508,7181,7383,7383,273455,2025-05-25,2025-05-25
11 oct 2024,7574,7604,7453,7556,7556,315302,2025-05-25,2025-05-25
10 oct 2024,7339,7624,7326,7585,7585,321453,2025-05-25,2025-05-25
9 oct 2024,7384,7445,7153,7324,7324,401159,2025-05-25,2025-05-25
8 oct 2024,7733,7846,7269,7357,7357,496760,2025-05-25,2025-05-25
7 oct 2024,7440,7740,7362,7714,7714,419018,2025-05-25,2025-05-25
4 oct 2024,7395,7557,7346,7438,7438,428815,2025-05-25,2025-05-25
3 oct 2024,7098,7409,7052,7371,7371,460554,2025-05-25,2025-05-25
2 oct 2024,7080,7249,6987,7010,7010,429225,2025-05-25,2025-05-25
1 oct 2024,6841,7194,6633,6983,6983,668216,2025-05-25,2025-05-25
30 sept 2024,6863,6932,6757,6817,6817,350115,2025-05-25,2025-05-25
27 sept 2024,6745,6865,6706,6818,6818,341133,2025-05-25,2025-05-25
26 sept 2024,6989,7001,6695,6767,6767,478069,2025-05-25,2025-05-25
25 sept 2024,7154,7172,6923,6969,6969,476237,2025-05-25,2025-05-25
24 sept 2024,7076,7240,7044,7156,7156,318516,2025-05-25,2025-05-25
23 sept 2024,7131,7181,6949,7037,7037,338267,2025-05-25,2025-05-25
20 sept 2024,7210,7240,7136,7192,7192,306997,2025-05-25,2025-05-25
19 sept 2024,7013,7249,7013,7195,7195,86630,2025-05-25,2025-05-25
18 sept 2024,7114,7148,6973,7091,7091,102907,2025-05-25,2025-05-25
17 sept 2024,7050,7192,6961,7119,7119,251629,2025-05-25,2025-05-25
16 sept 2024,6916,7070,6865,7009,7009,295176,2025-05-25,2025-05-25
13 sept 2024,6931,7032,6847,6865,6865,308983,2025-05-25,2025-05-25
12 sept 2024,6739,6981,6724,6897,6897,351976,2025-05-25,2025-05-25
11 sept 2024,6628,6797,6563,6731,6731,393311,2025-05-25,2025-05-25
10 sept 2024,6878,6908,6527,6575,6575,442855,2025-05-25,2025-05-25
9 sept 2024,6813,6896,6731,6871,6871,351074,2025-05-25,2025-05-25
6 sept 2024,6933,7013,6717,6767,6767,351074,2025-05-25,2025-05-25
5 sept 2024,6927,7082,6875,6915,6915,405596,2025-05-25,2025-05-25
4 sept 2024,7028,7146,6882,6920,6920,482025,2025-05-25,2025-05-25
3 sept 2024,7353,7441,7010,7034,7034,546617,2025-05-25,2025-05-25
30 ago 2024,7587,7659,7336,7355,7355,427273,2025-05-25,2025-05-25
29 ago 2024,7442,7691,7405,7591,7591,408147,2025-05-25,2025-05-25
28 ago 2024,7575,7595,7382,7452,7452,337361,2025-05-25,2025-05-25
27 ago 2024,7720,7748,7540,7553,7553,331162,2025-05-25,2025-05-25
26 ago 2024,7510,7760,7504,7742,7742,409675,2025-05-25,2025-05-25
23 ago 2024,7296,7507,7283,7483,7483,313764,2025-05-25,2025-05-25
22 ago 2024,7193,7352,7158,7301,7301,334117,2025-05-25,2025-05-25
21 ago 2024,7312,7416,7146,7193,7193,390527,2025-05-25,2025-05-25
20 ago 2024,7434,7503,7350,7404,7404,329276,2025-05-25,2025-05-25
19 ago 2024,7658,7687,7417,7437,7437,118172,2025-05-25,2025-05-25
16 ago 2024,7816,7816,7554,7665,7665,100810,2025-05-25,2025-05-25
15 ago 2024,7752,7860,7693,7816,7816,195122,2025-05-25,2025-05-25
14 ago 2024,7873,7910,7683,7698,7698,357636,2025-05-25,2025-05-25
13 ago 2024,7974,8015,7816,7835,7835,370763,2025-05-25,2025-05-25
12 ago 2024,7699,8016,7670,8006,8006,376747,2025-05-25,2025-05-25
9 ago 2024,7602,7709,7585,7684,7684,263007,2025-05-25,2025-05-25
8 ago 2024,7547,7652,7460,7619,7619,327301,2025-05-25,2025-05-25
7 ago 2024,7284,7584,7258,7523,7523,427995,2025-05-25,2025-05-25
6 ago 2024,7386,7456,7220,7320,7320,352250,2025-05-25,2025-05-25
5 ago 2024,7421,7446,7167,7294,7294,500151,2025-05-25,2025-05-25
2 ago 2024,7687,7729,7297,7352,7352,467786,2025-05-25,2025-05-25
1 ago 2024,7859,7888,7624,7631,7631,383014,2025-05-25,2025-05-25
31 jul 2024,7524,7866,7518,7791,7791,460315,2025-05-25,2025-05-25
30 jul 2024,7591,7597,7459,7473,7473,419478,2025-05-25,2025-05-25
29 jul 2024,7730,7769,7535,7581,7581,362635,2025-05-25,2025-05-25
26 jul 2024,7835,7860,7619,7716,7716,365121,2025-05-25,2025-05-25
25 jul 2024,7750,7847,7604,7828,7828,457288,2025-05-25,2025-05-25
24 jul 2024,7745,7819,7698,7759,7759,355971,2025-05-25,2025-05-25
23 jul 2024,7827,7873,7640,7696,7696,417941,2025-05-25,2025-05-25
22 jul 2024,8039,8069,7917,7978,7978,345235,2025-05-25,2025-05-25
19 jul 2024,8247,8288,8007,8013,8013,83795,2025-05-25,2025-05-25
18 jul 2024,8311,8382,8204,8282,8282,95704,2025-05-25,2025-05-25
17 jul 2024,8085,8310,8045,8285,8285,257437,2025-05-25,2025-05-25
16 jul 2024,8192,8193,8022,8076,8076,308186,2025-05-25,2025-05-25
15 jul 2024,8216,8258,8147,8191,8191,296520,2025-05-25,2025-05-25
12 jul 2024,8286,8374,8210,8221,8221,370062,2025-05-25,2025-05-25
11 jul 2024,8240,8313,8163,8262,8262,324170,2025-05-25,2025-05-25
10 jul 2024,8181,8266,8081,8210,8210,334380,2025-05-25,2025-05-25
9 jul 2024,8222,8248,8125,8141,8141,297325,2025-05-25,2025-05-25
8 jul 2024,8315,8332,8208,8233,8233,251774,2025-05-25,2025-05-25
5 jul 2024,8360,8452,8302,8316,8316,361357,2025-05-25,2025-05-25
3 jul 2024,8320,8393,8246,8388,8388,289685,2025-05-25,2025-05-25
2 jul 2024,8343,8438,8272,8281,8281,367787,2025-05-25,2025-05-25
1 jul 2024,8145,8364,8138,8338,8338,345780,2025-05-25,2025-05-25
28 jun 2024,8186,8272,8097,8154,8154,260252,2025-05-25,2025-05-25
27 jun 2024,8086,8204,8051,8174,8174,306342,2025-05-25,2025-05-25
26 jun 2024,8072,8163,8018,8090,8090,308410,2025-05-25,2025-05-25
25 jun 2024,8170,8190,8055,8083,8083,286038,2025-05-25,2025-05-25
24 jun 2024,8045,8178,8023,8163,8163,271745,2025-05-25,2025-05-25
21 jun 2024,8127,8179,8035,8073,8073,290500,2025-05-25,2025-05-25
20 jun 2024,8152,8241,8113,8217,8217,420499,2025-05-25,2025-05-25
18 jun 2024,8043,8167,7977,8157,8157,140709,2025-05-25,2025-05-25
17 jun 2024,7848,8066,7798,8033,8033,126733,2025-05-25,2025-05-25
14 jun 2024,7796,7915,7773,7845,7845,245827,2025-05-25,2025-05-25
13 jun 2024,7837,7889,7767,7862,7862,307638,2025-05-25,2025-05-25
12 jun 2024,7822,7932,7788,7850,7850,322285,2025-05-25,2025-05-25
11 jun 2024,7812,7836,7722,7790,7790,314874,2025-05-25,2025-05-25
10 jun 2024,7535,7829,7523,7774,7774,317031,2025-05-25,2025-05-25
